rank	#	word
482	151	future
483	151	af
484	150	comes
485	150	set
486	150	month
487	150	women
488	150	taking
489	150	pay
490	150	must
491	150	called
492	149	yeah
493	148	else
494	148	winning
495	147	maybe
496	147	car
497	146	used
498	146	online
